94 188
3
0
4
7
6
4
4
3
5
5
5
5
4
2
5
7
4
5
4
4
4
6
4
6
5
4
6
7
5
4
6
4
5
4
7
4
5
6
5
2
5
7
2
6
6
4
3
7
6
4
4
4
5
5
4
5
5
5
5
5
4
4
4
6
5
4
3
6
5
5
6
4
6
6
6
5
6
5
6
6
5
6
4
5
6
6
4
5
3
3
5
5
5
5
3
7
5
7
4
5
5
7
6
5
7
3
4
7
4
6
5
5
5
6
5
4
6
7
7
6
7
5
5
5
5
5
4
6
6
2
6
4
6
3
6
7
5
6
4
6
7
4
7
4
6
6
7
4
4
4
4
2
6
6
4
7
3
6
5
7
4
4
6
6
4
5
4
6
5
4
6
5
0
5
6
6
6
4
6
4
5
5
6
6
4
5
6
6
7
4
6
6
7
6
7
4
4
5
5
0
4
5
6
7
6
7
5
4
6
0
0
5
6
4
6
4
5
4
7
6
5
6
6
7
6
7
6
4
5
5
7
5
4
4
5
7
6
7
4
6
6
5
7
5
5
5
3
3
5
4
7
4
5
4
4
7
6
6
5
5
3
5
5
6
5
6
7
6
5
5
5
7
6
4
4
5
4
4
4
6
6
4
5
3
4
5
5
7
4
5
4
4
6
5
4
5
4
4
4
3
6
5
3
5
7
3
6
6
7
6
7
6
5
7
6
5
5
6
7
5
4
5
7
4
7
6
5
6
5
5
7
3
5
5
4
6
5
3
7
4
4
3
6
5
3
7
6
6
4
6
4
4
4
4
5
4
7
5
4
3
6
6
6
5
4
6
5
0
6
4
4
7
7
0
4
5
7
5
5
6
4
0
7
6
5
5
5
5
6
5
6
6
4
6
2
4
7
6
5
4
5
4
7
5
6
7
5
5
5
4
5
6
6
4
5
3
6
7
5
4
5
4
7
4
6
6
5
3
5
5
4
3
7
7
4
7
3
6
4
4
4
4
6
7
6
4
6
7
4
6
5
5
4
6
5
6
5
4
5
4
4
0
7
6
4
6
4
5
4
4
5
7
5
4
5
7
5
6
7
7
3
5
7
7
4
4
6
5
5
5
6
6
4
6
4
5
4
7
5
5
3
4
7
3
4
4
4
5
7
5
5
3
4
4
6
6
5
0
4
4
4
6
6
7
5
4
7
7
6
4
7
5
2
4
6
5
4
5
4
5
5
5
6
7
6
5
5
7
6
4
5
5
4
5
5
6
6
4
3
5
5
6
4
5
6
5
6
6
5
4
4
3
6
7
4
6
6
5
7
5
6
6
5
4
6
3
5
4
5
5
6
5
5
5
5
7
7
6
4
6
4
5
6
4
5
7
4
4
3
5
6
6
4
4
7
4
7
5
4
5
6
6
6
5
4
4
4
5
4
6
5
7
6
6
7
4
6
6
5
3
4
4
5
4
6
5
6
5
3
7
6
6
5
3
5
6
4
7
6
5
7
7
7
5
4
7
7
5
4
6
6
7
5
6
7
6
4
6
5
5
0
6
4
4
7
4
3
4
6
6
4
4
4
3
6
4
6
6
4
7
7
5
5
7
6
3
6
6
7
4
5
4
7
5
5
7
5
5
6
4
6
4
4
4
6
4
4
5
6
4
5
5
3
7
7
4
4
5
6
7
4
6
0
4
5
5
5
6
5
5
6
6
7
4
5
4
6
7
5
4
6
4
5
6
6
5
5
5
6
5
4
5
7
6
6
6
5
7
5
6
6
6
6
5
4
4
6
3
7
7
5
3
5
3
4
6
4
4
5
7
4
4
4
5
5
4
6
6
4
5
7
6
4
4
4
6
4
7
4
3
4
6
6
6
4
5
6
6
4
4
4
5
6
6
5
3
7
5
6
6
3
5
7
4
5
4
6
4
4
6
6
5
5
5
5
4
6
6
6
4
6
0
7
4
5
5
6
4
4
4
6
2
6
5
7
6
5
4
5
6
4
4
0
5
4
6
5
6
4
7
5
4
4
6
7
6
4
4
7
5
4
7
4
4
6
6
3
5
7
7
5
5
6
4
5
4
6
6
7
5
4
3
6
5
4
6
6
5
4
5
4
3
6
6
4
5
7
4
6
5
5
7
4
4
4
7
6
7
4
4
6
7
7
4
6
7
3
5
7
6
3
4
4
4
0
5
7
6
5
2
4
5
6
5
5
5
6
5
5
6
6
4
7
4
5
4
5
7
4
4
4
4
3
5
5
6
6
4
5
6
7
4
5
4
4
6
5
5
4
7
6
4
5
5
4
4
3
5
4
7
6
4
0
5
6
4
7
5
6
4
4
4
7
5
4
4
6
5
5
5
3
5
4
6
7
5
7
5
6
4
6
5
6
6
6
4
4
7
6
4
5
6
6
5
4
5
6
7
6
5
5
6
6
6
0
5
5
3
5
4
5
7
4
4
6
5
4
6
4
6
3
5
5
6
7
4
7
6
7
5
4
6
4
5
7
5
5
4
6
4
5
5
6
7
6
4
3
7
5
4
6
7
3
4
4
4
6
6
4
4
6
5
5
4
4
4
4
3
7
5
4
4
4
5
5
4
5
6
4
4
6
4
7
3
4
7
6
4
5
5
7
6
5
6
4
4
6
6
3
6
7
7
4
4
7
5
6
6
5
6
6
3
5
0
7
4
7
5
3
7
7
6
5
5
6
5
5
5
4
7
6
6
4
4
6
5
7
6
7
5
4
7
7
5
6
5
4
5
5
2
5
6
7
6
4
7
4
2
5
4
5
4
4
3
6
6
3
7
5
4
5
6
6
4
5
6
6
4
5
4
6
7
4
3
2
5
6
5
6
5
5
5
6
6
3
5
4
6
4
6
5
3
6
6
4
4
6
6
2
6
5
3
7
7
3
5
6
4
5
4
5
6
7
5
4
5
5
7
6
5
7
6
6
4
6
6
5
4
6
7
5
4
4
6
5
4
4
5
4
4
5
4
4
4
5
7
7
5
4
6
5
4
7
7
5
5
5
5
6
5
4
6
6
7
5
5
7
5
6
7
5
3
6
4
4
6
5
7
6
4
5
4
7
4
6
5
4
6
7
6
6
4
6
5
6
6
0
4
4
6
4
5
4
6
7
3
6
5
7
7
7
6
5
5
5
4
5
5
4
4
5
6
5
4
7
6
6
6
4
6
0
7
0
4
5
7
6
3
7
6
5
4
6
4
6
6
7
4
4
6
6
5
5
5
6
4
7
4
6
3
7
6
7
6
6
4
5
0
